entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;mano_obra;expediente-numero;financiamiento
Plan 54 escuelas;"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI";Finalizada;Escuelas;Ministerio de Educación;primaria;67065700.00;12;villa urquiza;rivera, pedro i., dr. 4221;2013-12-01;2016-05-31;29;100;Criba S.A.;2013;Licitación Pública;2030-MDUGC-2013;30505454436;37;914412-MDUGC-2013;Nación / Fuente 11
Donado Holmberg;Calle Holmberg: Nivelación en cruce;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;en el marco del proyecto urbano del barrio parque donado holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par holmberg y donado con las calles tomás le bretón, pedro ignacio iivera, blanco encalada, mendoza, virrey del pino y carbajal.;9950017.00;12;villa urquiza;holmberg y olazabal av.;2015-03-16;2016-07-15;16;100;Altote S.A;2014;Licitación Pública;957/2014;30707431896;16;5515928-2014;Internacional
Área Ambiental Central;Área Ambiental Central: Calles Alsina Y Moreno;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;se intervinieron los tramos comprendidos entre la av. presidente julio argentino roca y la calle defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.;36942632.00;1;montserrat;alsina, adolfo e irigoyen, bernardo de;2016-01-12;2017-11-15;22;100;Rol Ingenieria S.A;2016;Licitación Pública;640-SIGAF/16;30578447659;55;640-SIGAF-16;Mixto / CAF / Nación / GCBA
Área Ambiental Central;Área Ambiental Central: Calle Esmeralda I;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;la obra incluyó el tramo ubicado entre la av. santa fe y la av. de mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. además, se intalarón nuevas luminarias y se plantarón árboles.;26938294.00;1;san nicolás;esmeralda y corrientes av.;2014-10-27;2017-02-28;28;100;Dal Construcciones S.A;2014;Licitación Pública;305/2014;30604370171;59;305-2014;Nación / Fuente 14
Villa Olí­mpica;Villa Olí­mpica: Viviendas II;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.;148823367.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-15;2017-08-30;18;100;EMACO SA - CONSTRUCTORA LANUSSE SA -UTE;2015;Licitación Pública;115/2015;30714969362;61;16-821-753-0GPUYAJ2014;Nación / Fuente 11
Villa Olí­mpica;Villa Olí­mpica: Viviendas III;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;el tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.;179192366.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-25;2017-10-15;20;100;Bricons S.A.I.C.F.I.;2015;Licitación Pública;329-329-MDUGC-2015;30541068151;57;1026045-1026045-DGPUYA-2015;Mixto / Nación / Préstamo BIRF 8706-AR
Villa Olí­mpica;Villa Olí­mpica: Viviendas IV;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.;163279322.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-15;2017-08-30;18;100;Dycasa S.A.;2015;Licitación Pública;395/2015;33516294189;79;2-163-614-MGEYA-DGPUYA-2015;Internacional
Villa Olí­mpica;Villa Olí­mpica: Viviendas IX;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;137837183.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-03-28;2018-02-15;23;100;Criba S.A.;2015;Licitación Pública;580/2015;30505454436;37;12-809-363-MGEYA-DGPUYA-2015;Internacional
Villa Olí­mpica;Villa Olí­mpica: Viviendas V;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.;166503404.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-03-15;2017-09-30;18;100;Dycasa S.A.;2015;Licitación Pública;396/2015;33516294189;19;2-254-226-MGEYA-DGPUYA-2015;Mixto Nación / Préstamo BID AR-L1260
Villa Olí­mpica;Villa Olí­mpica: Viviendas VI;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.;160833300.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-15;2017-08-30;18;100;Criba S.A.;2015;Licitación Pública;450/2015;30505454436;49;EX-2015-03683859- -MGEYA-DGPUYA;Mixto / Nación / GCBA
Villa Olí­mpica;Villa Olí­mpica: Viviendas VII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;123691183.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-25;2017-10-31;20;100;Cunumi S.A;2015;Licitación Pública;449/2015;30615748036;39;7-482-410-MGEYA-DGPUYA-2015;Mixto / CAF / Nación / GCBA
Villa Olí­mpica;Villa Olí­mpica: Viviendas VIII;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 8 contempló la construcción de 4 edificios que fueron destinados a los juegos olí­mpicos. se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.;174609630.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-02-15;2017-11-15;21;100;Constructora Sudamericana S.A.;2015;Licitación Pública;528/2015;30610895456;78;7-483-365-MGEYA-DGPUYA-2015;Internacional
Villa Olí­mpica;Villa Olí­mpica: Viviendas X;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;la licitación nº 10 completó el grupo de licitaciones de viviendas para los juegos olí­mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los juegos olimpicos. además, se construyerón aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.;98174265.00;8;villa lugano;fernandez de la cruz, f., gral. av. y escalada av.;2016-04-28;2017-12-31;20;100;Vidogar Construcciones S.A;2015;Licitación Pública;573/2015;30553433564;36;12-808-238-MGEYA-DGPUYA-2015;Nación / Fuente 11
