tipo,nombre,etapa,area_responsable,descripcion,monto_contrato,barrio,comuna,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,cuit_contratista,licitacion_anio,contratacion_tipo,nro_contratacion,mano_obra,expediente-numero,financiamiento
Escuelas,"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI",Finalizada,Ministerio de Educación,primaria,67065700.0,villa urquiza,12,"rivera, pedro i., dr. 4221",2013-12-01,2016-05-31,29,100.0,Criba S.A.,30505454436,2013,Licitación Pública,2030-MDUGC-2013,indeterminado,914412-mdugc-2013,indeterminado
Espacio Público,Calle Holmberg: Nivelación en cruce,Finalizada,Secretarí­a de Transporte y Obras Públicas,"en el marco del proyecto urbano del barrio parque donado holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par holmberg y donado con las calles tomás le bretón, pedro ignacio iivera, blanco encalada, mendoza, virrey del pino y carbajal.",9950017.0,villa urquiza,12,holmberg y olazabal av.,2015-03-16,2016-07-15,16,100.0,Altote S.A,30707431896,2014,Licitación Pública,957/2014,16,5515928/2014,indeterminado
Espacio Público,Área Ambiental Central: Calles Alsina Y Moreno,Finalizada,Secretarí­a de Transporte y Obras Públicas,"se intervinieron los tramos comprendidos entre la av. presidente julio argentino roca y la calle defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.",36942632.0,montserrat,1,"alsina, adolfo e irigoyen, bernardo de",2016-01-12,2017-11-15,22,100.0,Rol Ingenieria S.A,30578447659,2016,Licitación Pública,640-SIGAF/16,55,indeterminado,indeterminado
Espacio Público,Área Ambiental Central: Calle Esmeralda I,Finalizada,Secretarí­a de Transporte y Obras Públicas,"la obra incluyó el tramo ubicado entre la av. santa fe y la av. de mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. además, se intalarón nuevas luminarias y se plantarón árboles.",26938294.0,san nicolás,1,esmeralda y corrientes av.,2014-10-27,2017-02-28,28,100.0,Dal Construcciones S.A,30604370171,2014,Licitación Pública,305/2014,59,indeterminado,indeterminado
Vivienda,Villa Olí­mpica: Viviendas II,Finalizada,Secretarí­a de Transporte y Obras Públicas,la segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,148823367.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100.0,EMACO SA - CONSTRUCTORA LANUSSE SA -UTE,30714969362,2015,Licitación Pública,115/2015,indeterminado,16.821.753-0gpuyaj2014,indeterminado
Vivienda,Villa Olí­mpica: Viviendas III,Finalizada,Secretarí­a de Transporte y Obras Públicas,el tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,179192366.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-25,2017-10-15,20,100.0,Bricons S.A.I.C.F.I.,30541068151,2015,Licitación Pública,329-329-MDUGC-2015,indeterminado,1026045-1026045-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas IV,Finalizada,Secretarí­a de Transporte y Obras Públicas,la cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,163279322.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100.0,Dycasa S.A.,33516294189,2015,Licitación Pública,395/2015,indeterminado,2.163.614-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas IX,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,137837183.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-03-28,2018-02-15,23,100.0,Criba S.A.,30505454436,2015,Licitación Pública,580/2015,indeterminado,12.809.363-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas V,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,166503404.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-03-15,2017-09-30,18,100.0,Dycasa S.A.,33516294189,2015,Licitación Pública,396/2015,indeterminado,2.254.226-mgeya-dgpuya-2015,indeterminado
Vivienda,Villa Olí­mpica: Viviendas VI,Finalizada,Secretarí­a de Transporte y Obras Públicas,la licitación nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.,160833300.0,villa lugano,8,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100.0,Criba S.A.,30505454436,2015,Licitación Pública,450/2015,indeterminado,ex-2015-03683859- -mgeya-dgpuya,indeterminado
