nombre,Tipo_ID,Etapa_ID,Area_ID
"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI",1,1,1
Calle Holmberg: Nivelación en cruce,2,1,2
Área Ambiental Central: Calles Alsina Y Moreno,2,1,2
Área Ambiental Central: Calle Esmeralda I,2,1,2
Villa Olí­mpica: Viviendas II,3,1,2
Villa Olí­mpica: Viviendas III,3,1,2
Villa Olí­mpica: Viviendas IV,3,1,2
Villa Olí­mpica: Viviendas IX,3,1,2
Villa Olí­mpica: Viviendas V,3,1,2
Villa Olí­mpica: Viviendas VI,3,1,2
Villa Olí­mpica: Viviendas VII,3,1,2
Villa Olí­mpica: Viviendas VIII,3,1,2
Villa Olí­mpica: Viviendas X,3,1,2
Villa Olí­mpica: Viviendas I,3,1,2
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios Villa Olí­mpica,3,1,3
"Parque Olí­mpico: Demolición total, extracción y trasplante de árboles, cerco perimetral",2,1,2
"Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",4,1,2
Parque Olí­mpico: Pabellones A1 Y A2.,5,1,2
Parque Olí­mpico: Pabellones A3 Y A4.,5,1,2
"Parque Olí­mpico: Espacio público, equipamiento deportivo exterior",2,1,2
Parque Olí­mpico: Pabellón C.,5,1,2
Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí­mpica,5,1,3
Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí­mpica,5,1,3
Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí­mpica,3,1,3
Parque Olí­mpico: Pabellón B.,5,1,2
Parque Olí­mpico: Infraestructura eléctrica.,4,1,2
"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",2,1,3
Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,5,1,3
Paseo Del Bajo: Tramo A - Viaductos,6,1,2
Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,6,1,2
Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,6,1,2
Ramal Austria I,4,1,2
Ramal Caaguazú -Ampliación Red Pluvial VII,4,1,2
Ramal Escalada -Ampliación Red Pluvial VI,4,1,2
Red Pluvial IV: Ampliación,4,1,2
Centro de Exposiciones y Convenciones,5,1,2
Edificio Lezama: Obra Civil,5,1,2
Arroyo Vega - Mejora de la Eficiencia Hidraulica,4,1,2
Conector Ambiental Iriarte,2,1,2
Parque Olí­mpico: Cubierta Arena Parque Roca.,5,1,2
Metrobus Del Bajo: Paradores - Etapa I,6,1,2
Camino De Sirga II,4,1,2
Metrobus Norte: Metrobus Cabildo II,6,1,2
Metrobus Norte: Centro de Transbordo Pací­fico,6,1,2
Paso bajo nivel Balbí­n,6,1,2
Centro de Exposiciones y Convenciones: Ampliación red de agua y cloacas,5,1,2
Paso bajo nivel Nazca,6,1,2
Conservatorio Manuel De Falla,1,1,2
Metrobus Del Bajo: Aceras - Etapa I,6,1,2
Metrobus Del Bajo: Tareas Preliminares y Cerco de Obra - Etapa I,6,1,2
Paso bajo nivel Av. San Martí­n,6,1,2
Paso bajo nivel Constituyentes,6,1,2
Paso bajo nivel Beiró,6,1,2
Teatro Colón: Reparación de arco de embocadura,5,1,2
Casa Trans,5,1,2
Edificio Hipólito Yrigoyen y Edificio Finochietto: adecuación,5,1,2
Estación de Bombeo Nº5,4,1,2
Teatro Colón: Instituto Superior de Arte - Adecuación del edificio Corrientes 1681,5,1,2
Área Ambiental Central: Calle Peru I,2,1,2
Área Ambiental Central: Calle Peru II,2,1,2
Centro de Gestión y Participación - Comuna 12,5,1,2
Camino De Sirga III,4,1,2
Área Ambiental Central: Calle Tacuarí­,2,1,2
Teatro San Martí­n: Renovación de Instalaciones y Tecnologí­a.,5,1,2
Comisarí­a vecinal 1-E,5,1,2
Oficinas Ministerio de Justicia y Seguridad: Laboratorio de la Policí­a Cientí­fica,5,1,2
Teatro Colón: Plano corta fuego,5,1,2
Teatro Colón: Completamiento del 4° Piso,5,1,2
Centro Parque Patricios: Intervención,5,1,2
Área Ambiental Central: Pasaje 5 de Julio,2,1,2
Edificio Lezama: Reparación de carpinterí­as del Parque Lezama,5,1,2
"Edificio Lezama: Instalaciones Eléctricas de Corrientes Fuertes, Corrientes Débiles e Iluminación",5,1,2
Edificio Lezama: Ampliación del Sistema Contra Incendio,5,1,2
Edificio Lezama: Ampliación del Sistema de Aire Acondicionado,5,1,2
Centro de Transbordo Flores,6,1,2
Parque Del Bajo: Bases de monumentos,2,1,2
Parque Del Bajo: Helipuerto y obras civiles,2,1,2
Parque Del Bajo: Movimiento de mástil,2,1,2
Manzana 66: Espacio público y movimiento de suelos,2,1,2
Centro Cultural Recoleta: Puesta en valor y refuncionalización,5,1,2
Centro de Exposiciones y Convenciones: Ingreso y Veredas,5,1,2
Parque de la Memoria: Pabellón de acceso,5,1,2
Base Operativa de Agentes de Tránsito,5,1,2
Sanidad de Frontera - Ministerio de Salud,7,1,2
Mirador Comastri: Restauración,5,1,2
Paseo de La Ribera: Etapa I Rocha y Cerri,2,1,2
Paseo De La Ribera: Etapa II Rocha y Cerri,2,1,2
Paseo De La Ribera: Etapa III Salvadores y Cerri,2,1,2
Teatro Colón: Talleres La Nube,5,1,2
Donado Holmberg: Soluciones Habitacionales IV,3,1,2
Acumar: San Antonio - Viviendas,3,1,4
Acumar: Lacarra - Viviendas,3,1,4
Ecoparque: Switches Para Telefoní­a Ip- Solución Así­,2,1,2
CESAC N° 30: Ampliación Y Remodelación Integral,7,1,5
Nuevo Cesac Avenida De Los Corrales,7,1,5
CESAC N° 35: Ampliación,7,1,5
Nuevo Cesac En Comuna 7 - Barrio Flores,7,1,5
Edificio Iriarte 3501 - Trabajos En Planta Baja y Planta Alta - Predio Del Ex Cic,7,1,5
Cesac Santander,7,1,5
"Hospital Alvear - Trabajos De Instalaciones Termo Mecánicas Y Eléctricas En Pabellón N° 1, Etapa 2",7,1,5
Hospital Marie Curie - Instalación Y Montaje De Ascensor Camillero,7,1,5
Hospital Fernández - Modernización y mejoras de ascensores,7,1,5
Edificio Ex Liga Israelita: Rehabilitación Y Refuncionalización,7,1,5
Hospital Penna - Obra Centro Transformación,7,1,5
Hospital Ramos Mejí­a - Remodelación Integral Medicina Nuclear Y Obras Varias,7,1,5
Hospital Vélez Sarfield - Remodelación Guardia,7,1,5
Hospital Penna - Remodelación ex guardia para traslado del servicio completo de imágenes (Area Imágenes),7,1,5
Hospital Piñero - Normalización Integral De Gas í¢ÂÂ2° Etapa,7,1,5
Hospital Moyano - Tareas De Demolición De Chimenea,7,1,5
Hospital Moyano - Reformas En Clí­nica Médica - Etapa N° 1,7,1,5
Hospital Alvarez - Remodelación Y Ampliación Del Servicio De Hemoterapia Del Pabellón D,7,1,5
Hospital Rivadavia - Remodelación del Centro Quirúrgico Pabellón Cobo y obras varias,7,1,5
Plaza Montecastro: Puesta en valor.,2,1,6
Plaza Sobral : Espacios Verdes,2,1,6
Avenida Yrigoyen - Etapa 4,2,1,6
Corralón de Floresta: Nueva plaza,2,1,6
Acumar: Osvaldo Cruz - Viviendas,3,1,4
Acumar: Valparaí­so - Viviendas,3,1,4
Acumar: Alvarado - Viviendas S1,3,1,4
Acumar: Alvarado - Viviendas S2,3,1,4
Acumar: Orma - Viviendas,3,1,4
Hospital Alvear - Refuncionalización Pabellón 2,7,1,5
Barrio 26 De Junio: Puesta En Valor Pasillos De Uso Común â 33 Viviendas,2,1,3
Biblioteca José Hernández: Puesta En Valor,5,1,7
Ecoparque: Consultorí­a Edif.Patrim. Estructuralista,5,1,2
Ecoparque: Oficinas (Obra),5,1,2
Ecoparque: Oficinas (Muebles),5,1,2
Ecoparque: Bioterio Remodelación,5,1,2
Ecoparque: Adecuación De Pgma (Comedor-Biblioteca- Nutrición),5,1,2
Ecoparque: Calefones Solares (25 Recintos),5,1,2
Ecoparque: Oso Hormiguero - Modificaciones En Recinto,5,1,2
Ecoparque: Monario írabe - Modificaciones De Recinto,5,1,2
Ecoparque: Intervenciones Correctivas De Urgencia En Recintos,5,1,2
Ecoparque: Impermeabilización De Techo Recintos (3100 M2),5,1,2
Ecoparque: Elefante 2da Etapa,2,1,2
Ecoparque: Nuevas Mangas De Manejo,5,1,2
Barrio Papa Francisco: Sector 2,3,1,4
Barrio Papa Francisco: Sector 3,3,1,4
Barrio Papa Francisco: Sector 1,3,1,4
Barrio Papa Francisco: Sector 4,3,1,4
Barrio Papa Francisco: Sector 5,3,1,4
Subsede Parque Chacabuco,5,1,6
Esquina Centenera  y Bonifacio: Nuevo espacio verde.,2,1,6
Sede Comunal Nro. 3 - Relocalización,5,1,6
Sede Comunal 15 - 2° Etapa - Modificación Layout,5,1,6
Ecoparque: Osos/Chimpance/Orangután - Modificaciones En Recinto,5,1,2
Ecoparque: Cuarentena,5,1,2
Ecoparque: Necropsia,5,1,2
Barrio Papa Francisco: Infraestructura 1,4,1,4
Barrio Papa Francisco: Infraestructura 2,4,1,4
Barrio Papa Francisco: Etapa 5,3,1,4
Barrio Rodrigo Bueno: Vivienda,3,1,4
Nuevo Cesac 14,7,1,5
Hospital Elizalde - Remodelación Servicio Reconstitución De Citostáticos,7,1,5
Hospital Fernández - Readecuación Fí­sica Angiógrafo,7,1,5
Hospital Cecilia Grierson - Remodelación y ampliación (Etapa N° 2- 3° Módulo),7,1,5
Hospital Penna - Instalación de sistema de climatización para el servicio de Unidad de Terapia Intensiva,7,1,5
"Hospital Santojanni - Ampliación Instalaciones Centrales De Oxigeno, Aire Comprimido Vací­o (Edificio 3, En 1°, 2°, 3° Y 4° Piso)",7,1,5
"Hospital Gutiérrez - Trabajos De Remodelación Del Sector De Guardia, Hall Central Y De Baños Públicos",7,1,5
Hospital Gutiérrez - Provisión Y Colocación De Cámara De Frio De Ia Morgue,7,1,5
Hospital Marí­a Ferrer - Instalación De Sistema De Climatización Frí­o/Calor Con Filtrado Especial - 2° Parte,7,1,5
Hospital Udaondo - Trabajos Para Ampliación Y Modificación De Tableros Para Alimentar Pabellones C Y D De Los Transformadores Actuales De Pabellón A Y B,7,1,5
Hospital Fernández - Infraestructura Y Seguridad - 1° Etapa,7,1,5
Recoleta Entrena,2,1,6
Ensanche Constitución,6,1,6
Plazoletas Bruix,2,1,6
Barrio Fraga: Vivienda,3,1,4
Barrio Rivera Iguazú: Manzana 2 - Construcción De 64 Viviendas,3,1,4
Ecoparque: Equipamiento De Quirófano,5,1,2
Ecoparque: Tapir - Modificaciones En Recinto,5,1,2
Patios De Juegos - Pigue,2,1,6
Patios De Juegos -Niceto Vega,2,1,6
Patio De Juegos - Willians Morris,2,1,6
Barrio Rivera Iguazú: Manzana 5 - Construcción De 64 Viviendas,3,1,4
Hospital Ramos Mejí­a - Remodelación Cocina Y Vestuarios,7,1,5
Hospital Ramos Mejí­a - Ampliación Central Gases Médicos Vací­o Y Aire Comprimido,7,1,5
Hospital Elizalde - Remodelación Del Sector De Guardia,7,1,5
Hospital Fernández - Remodelación Del Sector De Guardia,7,1,5
Hospital Penna - Modificaciones en el sistema de clmatización de Neonatologí­a,7,1,5
Hospital Penna - Instalación de sistema antirrayos,7,1,5
Hospital Piñero - Remodelación Del Sector Guardia,7,1,5
Hospital Rivadavia - Trabajos de remodelación del sector de Guardia,7,1,5
Hospital Santojanni - Remodelación Guardia,7,1,5
Hospital Vélez Sarfield - Remodelación Guardia,7,1,5
Hospital Zubizarreta - Remodelación Guardia,7,1,5
Sede Comunal 14 - Reforma,5,1,6
Cesac N° 28: Adecuación edilicia para su instalación,7,1,5
Cesac N° 3: Adecuación edilicia para su instalación,7,1,5
Cesac N° 34: Colocación De Membrana Nueva En Azotea,7,1,5
"Hospital Alvarez - Proyecto, Montaje Y Normalización De Instalación Interna Pabellones I, V, XV, XVI",7,1,5
Hospital Borda - Relocalización Servicio Bulimia Y Anorexia Del Pabellón Central,7,1,5
Hospital Marie Curie - Construcción De Una Nueva Morgue,7,1,5
"Hospital Marie Curie - Proyecto, Construcción, Montaje, Normalización, Habilitación Y Puesta En Marcha De Ramal Y Servicio De Gas - Parte I",7,1,5
"Hospital Durand - Proyecto, Montaje Y Normalización De Instalación Interna Edificios VI Y XI",7,1,5
"CESAC Nº 38: Refuncionalización 3° Piso, Sector Administrativo",7,1,5
Hospital Moyano - Reparación De Terraza Y Tanque De Agua En Clí­nica Médica,7,1,5
Hospital Moyano - Cambio De Bomba De Agua Y Adecuación De Sala En Tanque Torre,7,1,5
Hospital Muñiz - Remodelación Sala 32 De Pediatrí­a,7,1,5
Hospital Muñiz - Construcción Muro Perimetral En La Ochava De Las Avenidas Vélez Sarsfield Y Amancio Alcorta Etapa IV,7,1,5
Hospital Piñero - Normalización Integral De Gas-1º Etapa,7,1,5
Hospital Udaondo - Mejoras En El Acceso A Personas Con Movilidad Reducida En Pabellón A,7,1,5
"Hospital Gutiérrez - Proyecto, Aprobación, Normalización Y Habilitación De Instalación De Gas - Pabellones D Y F",7,1,5
Hospital Pirovano - Tareas De Demolición De Chimenea,7,1,5
Sede Comunal 10: Modificación Layout,5,1,6
Barrio Los Piletones: Abastecimiento De Agua Potable Manzanas 9 Y 10 - Barrio Los Piletones,8,1,3
